date,SA22023_V1_00,SA32023_V1_00,weatherA,weatherB,light
2024-05-28,150600,51850,Heavy rain,Strong wind,day
2024-05-28,132700,51150,Heavy rain,Strong wind,day
2024-05-28,119700,50760,Heavy rain,Strong wind,night
2024-05-28,127801,50960,Heavy rain,Strong wind,day
2024-05-28,151301,51770,Heavy rain,Strong wind,night
2024-05-28,150500,51760,Heavy rain,Strong wind,night
2024-05-28,133600,51450,Heavy rain,Strong wind,day
2024-05-28,151800,52010,Heavy rain,Strong wind,night
2024-05-28,122501,50940,Heavy rain,Strong wind,day
2024-05-28,122001,50880,Heavy rain,Strong wind,day
2024-05-28,132700,51150,Heavy rain,Strong wind,night
2024-05-28,145102,51260,Heavy rain,Strong wind,day
2024-05-28,112902,50480,Heavy rain,Strong wind,night
2024-05-28,133500,51380,Heavy rain,Strong wind,night
2024-05-28,132900,51350,Heavy rain,Strong wind,day
2024-05-28,113000,50480,Heavy rain,Strong wind,day
2024-05-28,112902,50480,Heavy rain,Strong wind,day
2024-05-28,145600,51570,Heavy rain,Strong wind,day
2024-05-28,134100,51150,Heavy rain,Strong wind,day
2024-05-28,151200,52010,Heavy rain,Strong wind,night
2024-05-28,145700,51690,Heavy rain,Strong wind,day
2024-05-28,163200,52200,Heavy rain,Strong wind,day
2024-05-28,163600,52200,Heavy rain,Strong wind,day
2024-05-28,119400,50650,Heavy rain,Strong wind,day
2024-05-28,145600,51570,Heavy rain,Strong wind,night
2024-05-28,164201,52220,Heavy rain,Strong wind,day
2024-05-28,122101,50990,Heavy rain,Strong wind,night
2024-05-28,151400,51830,Heavy rain,Strong wind,night
2024-05-28,119400,50650,Heavy rain,Strong wind,night
2024-05-28,113101,50520,Heavy rain,Strong wind,night
2024-05-28,144900,51690,Heavy rain,Strong wind,day
2024-05-28,133200,51150,Heavy rain,Strong wind,night
2024-05-28,163400,52180,Heavy rain,Strong wind,night
2024-05-28,164301,52250,Heavy rain,Strong wind,day
2024-05-28,150600,51850,Heavy rain,Strong wind,night
2024-05-28,112701,50480,Heavy rain,Strong wind,night
2024-05-28,122300,50940,Heavy rain,Strong wind,day
2024-05-28,119000,50720,Heavy rain,Strong wind,night
2024-05-28,134200,51440,Heavy rain,Strong wind,night
2024-05-28,119700,50760,Heavy rain,Strong wind,day
2024-05-28,134200,51440,Heavy rain,Strong wind,day
2024-05-28,128501,50980,Heavy rain,Strong wind,day
2024-05-28,151200,52010,Heavy rain,Strong wind,day
2024-05-28,132800,51380,Heavy rain,Strong wind,day
2024-05-28,164302,52250,Heavy rain,Strong wind,night
2024-05-28,132800,51380,Heavy rain,Strong wind,night
2024-05-28,128501,50980,Heavy rain,Strong wind,night
2024-05-28,144800,51700,Heavy rain,Strong wind,day
2024-05-28,128101,51040,Heavy rain,Strong wind,night
2024-05-28,151301,51770,Heavy rain,Strong wind,day
2024-05-28,164301,52250,Heavy rain,Strong wind,night
2024-05-28,144800,51700,Heavy rain,Strong wind,night
2024-05-28,163700,52240,Heavy rain,Strong wind,night
2024-05-28,128101,51040,Heavy rain,Strong wind,day
2024-05-28,130601,51300,Heavy rain,Strong wind,night
2024-05-28,112901,50480,Heavy rain,Strong wind,night
2024-05-28,164001,52230,Heavy rain,Strong wind,day
2024-05-28,166000,52310,Heavy rain,Strong wind,day
2024-05-28,147001,51720,Heavy rain,Strong wind,day
2024-05-28,169901,52450,Heavy rain,Strong wind,night
2024-05-28,169901,52450,Heavy rain,Strong wind,day
2024-05-28,148501,51960,Heavy rain,Strong wind,day
2024-05-28,130200,51140,Heavy rain,Strong wind,day
2024-05-28,170502,52460,Heavy rain,Strong wind,night
2024-05-28,120900,50940,Heavy rain,Strong wind,night
2024-05-28,170502,52460,Heavy rain,Strong wind,day
2024-05-28,130100,51340,Heavy rain,Strong wind,night
2024-05-28,110800,50410,Heavy rain,Strong wind,night
2024-05-28,148102,51790,Heavy rain,Strong wind,night
2024-05-28,129901,51220,Heavy rain,Strong wind,day
2024-05-28,120900,50940,Heavy rain,Strong wind,day
2024-05-28,170501,52460,Heavy rain,Strong wind,day
2024-05-28,121300,50790,Heavy rain,Strong wind,day
2024-05-28,131200,51170,Heavy rain,Strong wind,day
2024-05-28,166000,52310,Heavy rain,Strong wind,night
2024-05-28,131100,51470,Heavy rain,Strong wind,day
2024-05-28,129201,51220,Heavy rain,Strong wind,night
2024-05-28,165901,52300,Heavy rain,Strong wind,day
2024-05-28,149100,51710,Heavy rain,Strong wind,night
2024-05-28,149100,51710,Heavy rain,Strong wind,day
2024-05-28,111601,50470,Heavy rain,Strong wind,day
