date,isHoliday,SA22023_V1_00_Filled,SA22023_V1_00_NAME,SA22023_V1_00_NAME_ASCII,SA32023_V1_00,SA32023_V1_00_NAME,SA32023_V1_00_NAME_ASCII,weatherA,weatherB,partOfDay,Traffic Count,Population
2024-05-28,0,164302,Drury East,Drury East,52250,Drury,Drury,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,135300,Symonds Street West,Symonds Street West,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,135300,Symonds Street West,Symonds Street West,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,137202,Blockhouse Bay Central,Blockhouse Bay Central,51560,Blockhouse Bay ,Blockhouse Bay ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,137202,Blockhouse Bay Central,Blockhouse Bay Central,51560,Blockhouse Bay ,Blockhouse Bay ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,120500,Mairangi Bay North,Mairangi Bay North,50770,Mairangi Bay ,Mairangi Bay ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,120500,Mairangi Bay North,Mairangi Bay North,50770,Mairangi Bay ,Mairangi Bay ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,152300,East Tamaki,East Tamaki,51820,East Tamaki,East Tamaki,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,152300,East Tamaki,East Tamaki,51820,East Tamaki,East Tamaki,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,132400,Victoria Park,Victoria Park,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,132400,Victoria Park,Victoria Park,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,161700,Takanini Industrial,Takanini Industrial,52110,Takanini ,Takanini ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,161700,Takanini Industrial,Takanini Industrial,52110,Takanini ,Takanini ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,151900,Ōtāhuhu South,Otahuhu South,51830,Ōtāhuhu,Otahuhu,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,151900,Ōtāhuhu South,Otahuhu South,51830,Ōtāhuhu,Otahuhu,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,163803,Patumāhoe Rural,Patumahoe Rural,52260,Patumāhoe,Patumahoe,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,163803,Patumāhoe Rural,Patumahoe Rural,52260,Patumāhoe,Patumahoe,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,142201,Greenlane North,Greenlane North,51490,Greenlane ,Greenlane ,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,142201,Greenlane North,Greenlane North,51490,Greenlane ,Greenlane ,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,125600,Hillcrest North (Auckland),Hillcrest North (Auckland),51030,Hillcrest (Auckland),Hillcrest (Auckland),Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,125600,Hillcrest North (Auckland),Hillcrest North (Auckland),51030,Hillcrest (Auckland),Hillcrest (Auckland),Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,145500,Onehunga-Te Papapa Industrial,Onehunga-Te Papapa Industrial,51570,Onehunga,Onehunga,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,145500,Onehunga-Te Papapa Industrial,Onehunga-Te Papapa Industrial,51570,Onehunga,Onehunga,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,151200,Harania South,Harania South,52010,Māngere East,Mangere East,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,151200,Harania South,Harania South,52010,Māngere East,Mangere East,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,145200,Oranga,Oranga,51570,Onehunga,Onehunga,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,145200,Oranga,Oranga,51570,Onehunga,Onehunga,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,154802,Papatoetoe West,Papatoetoe West,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,154802,Papatoetoe West,Papatoetoe West,51990,Papatoetoe,Papatoetoe,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,121001,Bayview East (Auckland),Bayview East (Auckland),50990,Bayview (Auckland),Bayview (Auckland),Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,121001,Bayview East (Auckland),Bayview East (Auckland),50990,Bayview (Auckland),Bayview (Auckland),Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,116701,Albany Heights,Albany Heights,50620,Albany,Albany,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,116701,Albany Heights,Albany Heights,50620,Albany,Albany,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,121100,Swanson Rural,Swanson Rural,51290,Waitākere East,Waitakere East,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,121100,Swanson Rural,Swanson Rural,51290,Waitākere East,Waitakere East,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,135700,The Strand,The Strand,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,135700,The Strand,The Strand,51150,Auckland City Centre,Auckland City Centre,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,114000,Red Beach East,Red Beach East,50540,Red Beach,Red Beach,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,114000,Red Beach East,Red Beach East,50540,Red Beach,Red Beach,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,129201,Point Chevalier West,Point Chevalier West,51220,Point Chevalier,Point Chevalier,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
2024-05-28,0,129201,Point Chevalier West,Point Chevalier West,51220,Point Chevalier,Point Chevalier,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,134200,Mount Albert Central,Mount Albert Central,51440,Mount Albert,Mount Albert,Heavy rain,Strong wind,night,3941651.26446281,1678000.0
2024-05-28,0,134200,Mount Albert Central,Mount Albert Central,51440,Mount Albert,Mount Albert,Heavy rain,Strong wind,day,3941651.26446281,1678000.0
